article_text,human_headline,BART_original_headline,BART_finetuned_headline
"TOKYO, Aug 2 (Reuters) - A visit on Friday by Russian PrimeMinister Dmitry Medvedev to an island claimed by both Japan andRussia was extremely regrettable, Japan's foreign ministry said,urging Moscow to take constructive steps to advance ties. Medvedev travelled to one of the four Russian-held islandsoff Japan's northern region of Hokkaido. The island is known asIturup in Russian and Etorofu in Japanese. Such visits are incompatible with Japan's position on theNorthern Territories and hurt the feelings of its people, theMinistry of Foreign Affairs said in a statement. ""We strongly urge the Russian side to take constructivemeasures to further advance Japan-Russia relations, includingthe issue of the conclusion of the peace treaty,"" it added.(Reporting by Chris Gallagher; Editing by Clarence Fernandez)","Russian PM's visit to disputed island regrettable, Japan says",russian primeminister dmitry medvedev travelled to one of the four russian-held islandsoff japan's northern region of hokkaido. island is known asiturup in russian and etorofu in japanese. such visits are incompatible with japan's position on thenorthern territories and hurt the feelings of its people.,japan urges russia to take constructive steps to advance ties after medvedev's hokkaido visit
"    * Indonesia leads fall, down over 3%     * Vietnam up for sixth session     By Arundhati Dutta     April 8 (Reuters) - Most Southeast Asian stock markets closed lower on Wednesday as a mounting death toll from the global coronavirus outbreak  prompted investors to book profits after sharp gains earlier this week.     The United States posted a record single-day jump of more than 1,800 coronavirus deaths, while France has officially registered more than 10,000 fatalities so far.     The day's losses halted a rally in equities over the past two sessions on early optimism that the virus could be peaking.     A fall in energy stocks pushed the Thai benchmark 0.8% lower on Wednesday, with PTT Pcl and PTT Exploration and Production Pcl falling at least 4% each.     Leading losses in the region, Indonesian equities slumped 3.2%, with financials weighing on the benchmark index. PT Bank Mandiri (Persero) Tbk and PT Bank Negara Indonesia (Persero) Tbk both fell 7%.     Beginning Friday, Indonesia's capital Jakarta will impose large-scale social restrictions including closures of schools and workplaces to curb the spread of the coronavirus in the hardest hit area of the country.     Singaporean stocks shed 1.3%, with big cap conglomerates Jardine Matheson Holdings Ltd falling 3.8% and Jardine Strategic Holdings Ltd slipping 1.5%.     The Malaysian index fell 0.6%, dragged lower by power utility Tenaga Nasional, down 2%.     Philippine equities ended 2.5% lower.     On the upside, Vietnamese shares recovered from early losses and posted a sixth straight session of gains.             For Asian Companies click;   SOUTHEAST ASIAN STOCK MARKETS        STOCK MARKETS                                           Change on the                                          day                                             Market           Current       Previous     Pct Move                                  close           Singapore        2539.44       2571.89      -1.26   Bangkok          1205.77       1214.95      -0.76   Manila           5510.83       5650.01      -2.46   Jakarta          4626.695      4778.639     -3.18   Kuala Lumpur     1361.39       1369.92      -0.62  Ho Chi Minh       748.02        746.69       0.18                                                  Change so far                                 in 2020                                         Market           Current       End 2019     Pct Move   Singapore        2539.44       3222.83      -21.20   Bangkok          1205.77       1579.84      -23.68   Manila           5510.83       7,815.26     -29.49   Jakarta          4626.695      6,299.54     -26.56   Kuala Lumpur     1361.39       1588.76      -14.31   Ho Chi Minh      748.02        960.99       -22.16    (Reporting by Arundhati Dutta; Editing by Amy Caren Daniel)   ","SE Asia Stocks-Most fall as cornavirus death toll climbs, investors book profits","indonesia leads fall , down over 3 % *  vietnam up for sixth session by arundhati dutta april 8 ( reuters ) -  most southeast asian stock markets closed lower on wednesday. mounting death toll from global coronavirus outbreak prompted investors to book profits.",se asia stocks-most fall as coronavirus death toll mounts ; indonesia leads losses
"BUCHAREST, Jan 15 (Reuters) - Here are news stories, press reports and events to watch which may affect Romanian financial markets on Wednesday. CENTRAL BANK MINUTES Romania's central bank to release minutes of its Jan. 8 monetary policy meeting at 1300 GMT. INDUSTRIAL OUTPUT Romania's National Statistics Board to release November industrial output data at 0700 GMT. INFLATION Romania's consumer price inflation rose above market expectations to 4.0% on the year in December from November's 3.8%, data from the National Statistics Board showed on Tuesday. GDP Romania's economy expanded 3.0% on the year in the third quarter, the National Statistics Board said on Tuesday confirming a preliminary estimate. CEE MARKETS The Czech crown gained past a key level against the euro on Tuesday to touch a 23-month high as markets priced in rising chances of an interest rate increase this year. Prague stocks also traded at their highest in nearly two years. For other related news, double click on: --------------------------------------------------------------- Romanian equities     RO-E     E.Europe equities    .CEE Romanian money        RO-M     Romanian debt         RO-D Eastern Europe        EEU      All emerging markets  EMRG Hot stocks            HOT      Stock markets         STX Market debt news      DBT      Forex news            FRX For real-time index quotes, double click on: Bucharest BETI Warsaw WIG20 Budapest BUX Prague PX -------------------------------------------------------",Romania - Factors to watch on Jan 15,romania's consumer price inflation rose above market expectations to 4.0 % on the year in december. the czech crown gained past a key level against the euro to touch a 23-month high. prague stocks also traded at their highest in nearly two years.,romania -  factors to watch on jan . 15
"* Dollar index rises to the highest since June 2017 * Sterling falls as Brexit pressure builds on PM May(Updates rates, comments to U.S. market open; changes byline;changes dateline, previous LONDON) By Saqib Iqbal Ahmed NEW YORK, April 23 (Reuters) - The dollar climbed across theboard on Tuesday as financial markets re-opened after the Easterholiday and traders favored the greenback ahead of the releaseon Friday of U.S. gross domestic product data for the firstthree months of 2019. The dollar index, which measures the greenbackagainst six currencies, rose 0.47% to 97.74, its highest sinceJune 2017. The euro fell 0.52% against the dollar, slippingbelow the $1.12 handle for the first time in nearly three weeks. The dollar was supported by data on Tuesday that showedsales of new U.S. single-family homes jumped to a near1-1/2-year high in March. The data follows recentpositive news on retail sales and exports which have easedconcerns of a sharply slowing U.S. economy, analysts said. ""Today is certainly a good dollar day,"" said Minh Trang,senior currency trader at Silicon Valley Bank in Santa Clara,California. ""The dollar is coming in full force and we have seensomewhat of a lower trend on the euro overall,"" he said. Friday's U.S. GDP data for the first quarter couldstrengthen the case that while the current period of globalexpansion is in its late stages, the United States is yet to runout of steam. ""We are in a very range-bound market with the broaderpicture being more positive for the dollar relative to the euroafter the weak eurozone PMI manufacturing data last week,"" saidUlrich Leuchtmann, head of FX strategy at Commerzbank. An uptick this week in oil prices on news of U.S. plans totighten a clamp down on Iranian oil exports from next month isalso a positive for the dollar, said Silicon Valley Bank'sTrang. ""If we do see a follow-through from higher oil prices to alittle bit higher inflation I think you will see the Fed be in aposition to be more stable with maintaining rates andeliminating any kind of conversation about rate cuts,"" he said. With the U.S. Federal Reserve on pause with interest ratehikes there has been some talk that the Fed will need to cutrates before long. Sterling slid to a two-month low on Tuesday as hopes for abreakthrough in Brexit talks between the ruling and oppositionparties faded and British Prime Minister Theresa May facedgrowing pressure to quit. The Canadian dollar weakened to a nearly four-week lowagainst its U.S. counterpart on Tuesday as investors awaited aBank of Canada interest rate decision on Wednesday. (Reporting by Saqib Iqbal Ahmed; Additional reporting by SaikatChatterjee in LondonEditing by Chizu Nomiyama)",FOREX-Dollar strong as traders await U.S. Q1 GDP data; pound hurt by Brexit woes,dollar index rises to the highest since june 2017. sterling falls as brexit pressure builds on pm may.,forex-dollar gains as investors await u.s . gdp data ; euro slips below $ 1.12
"BISSAU, Jan 12 (Reuters) - Guinea-Bissau's Supreme Court on Sunday rejected a challenge against Umaro Cissoko Embalo's victory in last month's election run-off by the defeated candidate, who complained of fraud. The court's ruling said Domingos Simoes Pereira should have filed his complaint with the national electoral commission before petitioning the court. The commission said this month that Embalo, a former prime minister and ex-army general, won the Dec. 29 election with 53% of the vote. (Reporting by Alberto Dabo; Writing by Aaron Ross, Editing by Timothy Heritage)",Guinea-Bissau Supreme Court rejects challenge to presidential election result, guinea-bissau's supreme court on sunday rejected a challenge against umaro cissoko embalo's victory in last month's election run-off. the defeated candidate complained of fraud. the court's ruling said domingos simoes pereira should have filed his complaint with the national electoral commission.,guinea-bissau's supreme court rejects challenge to election win by defeated candidate
"* Euro zone periphery govt bond yields http://tmsnrt.rs/2ii2Bqr (Rejigs to reflect slight movement in prices) By Olga Cotaga LONDON, April 1 (Reuters) - Euro zone bond yields held near recent lows on Wednesday, with investors holding on to safe-haven government debt as the continuing spread of the novel coronavirus fed risk-off sentiment. More than 74,000 new cases of the coronavirus were reported globally on Tuesday, the largest increase in a single day since the virus began and almost 30% above the previous day's rise. More than 850,000 cases and 42,000 deaths have been reported across 205 countries and territories, according to a Reuters tally on Wednesday. Italy and the United States have reported a total of more than 100,000 cases each. Germany's benchmark 10-year Bund yield closed slightly down at -0.46%. Most of the rest of the core euro area market also hovered near recent lows, with France and Belgium seeing rates steady., ""I think it's a great opportunity to get into the European bond market as you have a guarantee from the (European) Central Bank"" that it will continue buying government bonds amid its hefty stimulus package, said Marija Veitmane, multi-asset strategist at State Street Global Markets. ""By expanding the QE (quantitative easing program), the ECB are there to support the peripheral European markets,"" she said. Portugal sold seven-year bonds on Wednesday via a syndicate of banks, as national treasurers in Europe come under pressure to finance government rescue programs being mounted to fight an economic downturn caused by the spread of COVID-19. By mid-morning, the order book had reached 24 billion euros. Portugal's 10-year government bond yield was last up 3 basis point at 0.86%, having reached earlier a six-day high of 0.871 . Spain was the first euro zone member country to tap the primary market with a seven-year bond last week. And Belgium saw record demand for its bond sale on Tuesday. Investors placed orders of over 58 billion euros for Belgium's 8 billion-euro sale of seven-year bonds, according to a lead manager update seen by Reuters, making it the largest-ever order book for a euro zone bond sale. Lyn Graham-Taylor, fixed income strategist at Rabobank, said there was a strong risk-off mood across the financial markets on Wednesday. The market can't ""look around the corner"" for a significant improvement in the euro zone economy given recently weak data and the lack of encouraging news about the coronavirus, he said. Data on Wednesday showed euro zone manufacturing activity collapsed last month as breaks in global supply chains caused by measures to curb coronavirus crushed output. The nosedive could worsen in coming months, a survey showed on Wednesday. (Reporting by Olga Cotaga; editing by Jan Harvey, Larry King and Toby Davis)",UPDATE 2-European yields hover near lows as investors search for safety,"more than 74,000 new cases of the coronavirus were reported globally on t tuesday. more than 850,000 cases and 42,000 deaths have been reported across 205 countries and territories. germany's benchmark 10-year bund yield closed slightly down at - 0.46 %.",update 2-euro zone bond yields hold near recent lows as coronavirus fears keep investors on edge
"Here are the top sports stories and upcoming coverage plans forReuters text service as of 2 p.m. GMT/10 a.m. ET. For a fullschedule of news and events, go to our editorial calendar onReuters Connect https://www.reutersconnect.com/planning or onMedia Expresshttp://mediaexpress.reuters.com/planning-tools/calendar. TOP STORIES SPORTS TENNIS-FRENCHOPEN/ Del Potro powers past Jarry into second round PARIS (Reuters) - Juan Martin del Potro fired up his powergame after a sluggish start to ease past Nicolas Jarry in anall-South American first round clash at the French Open onTuesday. MOTOR-F1-AZERBAIJAN/ Baku F1 considering charters for 2020 after soccer problems LONDON (Reuters) - Azerbaijan Grand Prix promoters areconsidering laying on charter flights for next year’s FormulaOne race after soccer fans struggled to reach Baku forWednesday’s Europa League final between Chelsea and Arsenal. SPAIN-SOCCER-ARRESTS/ Various Spanish soccer players arrested on match fixingcharges: El Pais MADRID (Reuters) - A number of first and second divisionsoccer players have been arrested in Spain over suspicions offorming a criminal organization dedicated to match fixing, ElPais reported on Tuesday. UPCOMING SOCCER SOCCER-EUROPA-CHE-ARS/PREVIEW (PIX) (TV) Soccer - Europa League Final - Arsenal news conferences &training Arsenal prepare for the Europa League final against Chelseaat Baku's Olympic Stadium. 28 May 09:45 ET / 13:45 GMT SOCCER-FRIENDLY-FRA-BOL/REPORT Soccer - Friendly game between France and Bolivia France take on Bolivia in a friendly game in Nantes 28 May 15:00 ET / 19:00 GMT SOCCER-EUROPA-CHE-ARS/PREVIEW (PIX) (TV) Soccer - Europa League Final - Chelsea news conferences &training Chelsea prepare for the Europa League final against Arsenalat Baku's Olympic Stadium. 28 May 12:15 ET / 16:15 GMT SOCCER-CHAMPIONS-TOT-LIV/PREVIEW Soccer - Champions League final - Rose never imaginedreaching final with Tottenham Tottenham defender Danny Rose has been outspoken in the pastabout the club's ambitions and he has admitted he could neverenvisage the team reaching a Champions League final as his sideprepare to meet Liverpool in Saturday's showpiece targeting theteam's first ever triumph in Europe's top competition. 29 May 06:00 ET / 10:00 GMT SOCCER-WORLDCUP-NGA/INTERVIEW (PIX) Soccer - Women's World Cup - Nigeria working hard to be‘best ever’ at World Cup Nigeria might have participated at every women’s World Cupbut only once made it past the first round, a trend that coachThomas Dennerby wants to change when they compete in this year’stournament in France. 29 May 02:00 ET / 06:00 GMT GOLF GOLF-MEMORIAL/ Golf - PGA Tour: Woods, McIlroy, Thomas speak ahead ofMemorial Tiger Woods, Rory McIlroy and Justin Thomas speak with themedia on the eve of the Memorial tournament  in Dublin, Ohio. 29 May MOTOR RACING MOTOR-F1/LAUDA-MEMORIAL (PIX) (TV) Requiem mass for motor racing great Niki Lauda A Requiem mass is held in Vienna's St Stephen's Cathedralfor Austrian motor racing great Niki Lauda. 29 May 02:00 ET / 06:00 GMT CYCLING CYCLING-GIRO/ (TV) Cycling - Giro d'Italia Stage 17 of the Giro d'Italia is a 181-kilometre ride fromCommezzadura - Anterselva/Antholz. 29 May 06:20 ET / 10:20 GMT CRICKET CRICKET-WORLDCUP-ENG-ZAF/PREVIEW (PIX) (TV) Cricket - ICC Cricket World Cup - South Africa & Englandnets & news conferences England and South Africa prepare for the opening match ofthe ICC Cricket World Cup at the Oval in London. 29 May 06:00 ET / 10:00 GMT TENNIS TENNIS-FRENCHOPEN/ (PIX) (TV) Tennis - French Open Action from round two of the French Open. 29 May 05:00 ET / 09:00 GMT",REUTERS SPORTS SCHEDULE AT 1400 GMT/1000 ET,azerbaijan grand prix promoters areconsidering laying on charter flights for next year’s formulaone race. a number of first and second divisionsoccer players have been arrested in spain over suspicions offorming a criminal organization dedicated to match fixing.,reuters sports schedule at 2 p.m . gmt/10 a.m . et
"ANKARA, July 31 (Reuters) - The Turkish central bank'smonetary policy will be in line with its inflation outlook,governor Murat Uysal said on Wednesday, adding that the bankwill maintain a prudent policy stance taking into accountgeopolitical risks. Speaking at a news conference to announce the bank'squarterly inflation report, Uysal also said the dismissal of hispredecessor Murat Cetinkaya before his 4-year term had expiredwas in line with existing bank rules.(Reporting by Ece Toksabay and Jonathan SpicerWriting by Ezgi ErkoyunEditing by Dominic Evans)",Turkish monetary policy to be in line with inflation outlook - cenbank governor," turkish central bank'smonetary policy will be in line with its inflation outlook, governor murat uysal says. uysal also says dismissal of hispredecessor murat cetinkaya before his 4-year term had expiredwas in line with existing bank rules.",turkish cenbank's monetary policy will be in line with inflation outlook -  governor
"By Barbara Grzincic The National Academy of Recording Arts & Sciences filed suit in federal court in Los Angeles on Thursday against the organizers of an event called the “Christian Grammy Awards,” alleging that they are unfairly trading on the familiar Grammy name and logo. According to the complaint filed by the Academy’s attorneys at Proskauer Rose, the defendants are selling tickets for an awards ceremony on Nov. 21 and have also applied to register the event name and a logo that incorporates several elements of the familiar Grammy statuette with the U.S. Patent and Trademark Office. To read the full story on Westlaw Practitioner Insights, click here: http://bit.ly/34nCXoi",IN BRIEF: Academy alleges ‘Grammy’ grab by organizers of new event,the national academy of recording arts &  sciences filed suit in federal court in los angeles on thursday against the organizers of an event called the “ christian grammy awards. the academy alleges that they are unfairly trading on the familiar grammy name and logo.,"in brief : recording academy sues ‘ christian grammy awards ,’ alleging trademark infringement"
"Aug 6 (Reuters) - Saudi Arabia will suspend new trade and investment with Canada after that country's foreign ministry urged Riyadh to release arrested civil rights activists, it said in a statement released to the official Saudi Press Agency on Sunday. It also gave the Canadian ambassador 24 hours to leave the country and recalled its own ambassador to Canada, the statement by the Saudi foreign ministry said, adding it ""will freeze all new trade and investment transactions with Canada whilst retaining its rights to take further action."" The Saudi ministry had been briefed that the Canadian foreign ministry and the Canadian embassy urged the Saudi authorities to ""immediately release"" the civil rights activists, the statement said. (Reporting by Nayera Abdullah in Cairo; Editing by Susan Thomas)",Saudi Arabia freezes new trade with Canada for urging activists' release, saudi arabia will suspend new trade and investment with canada after that country's foreign ministry urged riyadh to release arrested civil rights activists. it also gave the canadian ambassador 24 hours to leave the country and recalled its own ambassador.,saudi arabia to suspend new trade and investment with canada -  saudi press agency
"    CHICAGO, Aug 26 (Reuters) - Chicago Board of Trade wheatfutures stumbled on Monday under pressure from ample globalsupplies, while MGEX spring wheat sank to new contract lows,traders said.     * CBOT December soft red winter wheat settled 2-1/2centslower at $4.75-1/4 per bushel. The contract pulled back afterhitting its highest price in more than a week.    * K.C. December hard red winter wheat ended down2-3/4cents at $4.02 a bushel.     * MGEX December spring wheat lost 2-3/4 cents toclose at$5.11-3/4 and set a contract low of $5.11.    * MGEX spring wheat came under seasonal pressure from theongoingU.S. spring wheat harvest and weak cash markets, brokers said.    * The U.S. Department of Agriculture, in a weekly report duelateron Monday, is expected to show the U.S. spring wheat harvest as29% complete, according to a Reuters poll of analysts. Thatwould be up from 16% a week ago.    * The U.S. winter wheat harvest is expected to be 97%complete, upfrom 93% a week ago, according to the poll.    * On Tuesday, traders will look for the results of a wheattenderthat Egypt's General Authority for Supply Commodities issuedafter the close of CBOT trading.                     Last    Net   Pct     Low    High  Volume                            chng  chng                   WU9    WHEAT SRW  473.00  -2.25  -0.5  470.75  480.00   23375        SEP9                                             WZ9    WHEAT SRW  475.25  -2.50  -0.6  472.75  481.25   46103        DEC9                                             KWU9   WHEAT HRW  389.00  -2.50  -0.8  387.75  395.00   16557        SEP9                                             KWZ9   WHEAT HRW  402.00  -2.75  -0.8  400.25  408.50   26158        DEC9                                             MWEU9  SPG WHT    492.75  -6.00  -1.2  492.00  498.75    5617        SEP9                                             MWEZ9  SPG WHT    511.75  -2.75  -0.5  511.00  515.00    8396        DEC9                                              (Reporting by Tom Polansek; Editing by Sandra Maler)  ",CBOT wheat slumps on large supplies; MGEX wheat sets contract lows,mgex spring wheat came under seasonal pressure from theongoingu.s . spring wheat harvest and weak cash markets. k.c. december hard red winter wheat ended down2-3/4cents at $ 4.02 a bushel.,"cbot wheat ends lower on ample global supplies , mgex spring wheat hits new contract lows"
"MELBOURNE, Jan 16 (Reuters) - World number one Ash Barty maintained her mastery over Marketa Vondrousova but Aryna Sabalenka jolted Simona Halep's Australian Open build-up in the quarter-finals of the Adelaide International on Thursday. In a rematch of last year's French Open final, Barty prevailed once again, winning 6-3 6-3 for a 4-0 head-to-head lead over the Czech. American Danielle Collins, who knocked out fourth seeded Belinda Bencic 6-3 6-1, awaits the Australian in the semi-finals. Barty fired 20 winners and saved six of the seven break points to clinch the contest against Vondrousova, who was playing her first tournament since Wimbledon following wrist surgery. Barty will take on Ukraine's Lesia Tsurenko in the first round of the Australian Open where she will bid to end the host nation's long wait for a home-grown champion at the year's first Grand Slam. Earlier, Belarusian Sabalenka stunned reigning Wimbledon champion Halep 6-4 6-2 to set up a semi-final clash with Ukrainian Dayana Yastremska, who beat Donna Vekic 6-4 6-3. Level at 4-4 in the first set, Sabalenka reeled off seven straight games to race to a 6-4 5-0 lead before wrapping up victory in a little over an hour. ""I knew she'll fight until the end -- it doesn't matter what the score,"" she said after registering her first win against the Romanian former world number one. ""When the score was 5-0, I kind of expected that she'll try to do everything she can to come back in the match."" Sabalenka narrowly averted a first round exit against Hsieh Su-Wei and had to toil against American qualifier Bernarda Pera in the next match. ""I wasn't really disappointed after that two games,"" she said. ""That helped me to stay in the match and to not lose my mind. I'm happy with this win, especially against big fighters like Simona and the great players. (It) feels good."" (Reporting by Amlan Chakraborty in New Delhi; editing by Christian Radnedge)","Tennis-Barty masters Vondrousova again, Sabalenka stuns Halep in Adelaide", ash barty beats marketa vondrousova 6-3 6-3 for 4-0 head-to-head lead over the czech. aryna sabalenka stuns reigning wimbledon champion halep 6-4 6-2 to set up a semi-final clash with ukrainian dayana yastremska.,"tennis-barty beats vondrousova , sabalenka stuns halep to reach adelaide semis"
"By Will Boggs MD NEW YORK (Reuters Health) - Higher intake of gluten early inlife is associated with an increased risk of celiac disease (CD)and CD autoimmunity, according to new findings. ""We found that 1-year-olds in the highest third of glutenintake had a two-fold increased relative risk of developingceliac disease autoimmunity (CDA), a potential prodromal stageof celiac disease,"" said Dr. Karl Marild from the NorwegianInstitute of Public Health, in Oslo, Norway, and Queen SilviaChildren's Hospital, in Gothenburg, Sweden. ""For me, it was a surprising to find this magnitude ofassociation given the ubiquitous nature of gluten in our diet,""he told Reuters Health by email. Gluten intake drives the pathology associated with celiacdisease, but it remains unclear whether the amount of glutenintake predicts later CD or CDA. To investigate, Dr. Marild's team used data from 1,875participants in the prospective Diabetes Autoimmunity Study inthe Young (DAISY). Compared with 1-year-olds in the lowest thirdof gluten intake, those in the highest third had a 96% increasedrisk of CD (P=0.09) and a significant 2.17-fold increased riskof CDA. The association between gluten intake in 1-year-olds andfuture CDA and CD did not differ by the child's HLA genotype orfamily history of CD, the researchers report in The AmericanJournal of Gastroenterology, online May 9. The incidence of CD increased with the cumulative glutenintake throughout childhood (corresponding to a 15% increase inrisk per standard deviation of cumulative gluten intake by age6, P=0.04), whereas the cumulative gluten intake throughoutchildhood was not associated with CDA risk. ""While the strength of association was similar for theoutcome celiac disease and celiac disease autoimmunity, only thelatter reached statistical significance (possibly related to thefact that this outcome was more prevalent),"" Dr. Marild said.""However, if our findings are corroborated, they may provide asomewhat better understanding on one significant aspect of thelikely multifactorial etiology of this disease."" ""It is important to stress that we do not recommend a changein pediatric feeding practices,"" he said. ""Because this is anobservational study, there are many possible explanations to ourfindings, including non-causal explanations related to bias."" ""Our conclusions are subject to the caveat that this studywas restricted to genetically at-risk children from Denver,U.S.,"" Dr. Marild cautioned. ""We do not know the extent to whichthese results can be generalized to other populations. Previousdata in this field of research are relatively scarce and haveyielded inconsistent results."" SOURCE: https://bit.ly/2x5ICRo Am J Gastroenterol 2019.",Early-life gluten intake linked to increased risk of celiac disease,1-year-olds in the highest third of glutenintake had a two-fold increased relative risk of developing celiac disease autoimmunity. celiac disease autoimmunity is a potential prodromal stage of celiac disease.,"gluten intake in childhood tied to celiac disease , autoimmunity in young children"
"By Lisa Rapaport (Reuters Health) - White mothers may receive more pain assessments after delivery and have better access to painkillers than women from other racial and ethnic groups, two new studies suggest. For one study, researchers examined data on postpartum pain scores and pain management for 9,900 women. When women rated their pain on a scale of 1-10, with 10 being the worst, Hispanic women were 61% more likely to report scores of 5 or higher and black women were more than twice as likely to report high pain scores, this study found. Despite reporting higher pain scores, black and Hispanic women received significantly fewer morphine milligram equivalents (a measurement of opioids) than white women and were significantly less likely to receive a prescription for an opioid when they went home after giving birth. ""Our study shows black and Hispanic women experience disparities in pain management in the postpartum setting,"" said study leader Dr. Nevert Badreldin from Northwestern University Feinberg School of Medicine in Chicago. ""These disparities cannot be explained by less perceived pain,"" Badreldin said in a statement. Just 4.2% of white women reported pain scores of 5 or higher, compared with 7.7% of Hispanic women and 11.8% of black women, researchers report in Obstetrics & Gynecology. However, half of the white mothers received at least 24.8 morphine milligram equivalents a day of pain relief. By contrast, half of Hispanic women received no more than 19.4 morphine milligram equivalents a day, and half of black women received no more than 23.5 morphine milligram equivalents a day. And almost 47% of white mothers received opioid prescriptions when they were discharged from the hospital, compared with 39% of Hispanic mothers and 45% of black mothers. Following delivery, women commonly use pain medication to manage pain associated with cramping, vaginal lacerations, and surgical and musculoskeletal pain. A second study in the same journal examined how often 1,701 mothers got pain assessments after delivery and what scores they reported. In this study, 28% of black mothers reported pain scores of at least 7 out of 10, compared with 22% of Hispanic women, 20% of white mothers, and 15% of Asian women. Over the first 24 hours after birth, white women were asked about their pain levels an average of 10.2 times, compared with 8.4 to 9.5 assessments for other mothers. ""Any disparities in the care that women receive require urgent attention,"" Dr. Brian Bateman of Brigham and Women's Hospital and Harvard Medical School in Boston and Dr. Brendan Carvalho of Stanford University School of Medicine in California write in an editorial accompanying the studies. Further research is also needed to better understand what's contributing to these disparities and what interventions might eradicate any racial and ethnic imbalances in postpartum care, Bateman and Carvalho write. But, they add, ""we caution against responding to these differences by increasing opioid prescribing."" SOURCE: http://bit.ly/34XQ13Y and http://bit.ly/34WSuff Obstetrics & Gynecology, online November 4, 2019.","Black, Hispanic mothers report more pain after delivery but get less pain medication","white mothers may receive more pain assessments and have better access to painkillers than women from other racial and ethnic groups, two new studies suggest. just 4.2 % of white women reported pain scores of 5 or higher, compared with 7.7 % of hispanic women and 11.8 % of black women.","postpartum pain disparities seen for black , hispanic women , white mothers"
"(Fixes reference to Lopez Obrador's surname in headline) By Ana Isabel Martinez MEXICO CITY, Feb 14 (Reuters) - Mexican state oil firm Pemexwill make all its debt payments, President Andres Manuel LopezObrador said on Thursday, promising to shore up its financesafter Moody's and Fitch downgraded the firm's credit rating toone notch above junk. Lopez Obrador, a veteran leftist who took office inDecember, said he would present a plan on Friday to strengthenPemex's finances. One source of funding will be savings from thegovernment's fight against fuel theft, he said. ""Pemex will never fail to fulfill an obligation,"" LopezObrador said at a regular morning press conference, respondingto a question on whether his government would refinance orrestructure Pemex's debt. ""We will pay all of the obligationspunctually."" The plan to help Pemex's finances is expected to include areduction in the taxes the company pays to the government and acapital injection. Lopez Obrador, 65, stressed that the government would nottake on additional debt to help Pemex. ""We will not resort to debt,"" he said. ""We will have noproblems resolving our obligations."" The company said in a presentation viewed by Reuters that itexpects to receive a capital infusion of at least $1.25 billionbefore the year's end. Obrador's administration has previously spoken of reducingthe Pemex tax burden to free up the firm to invest more inexploration and production. Rating agency Fitch downgraded Pemex's credit rating in lateJanuary, citing the company's high leverage and tax burden.Pemex holds roughly $103 billion in financial debt, the highestof any state oil firm in Latin America. Fitch rated Pemex's long-term Issuer Default Ratings (IDRs)for foreign and local currency at BBB-, the lowestinvestment-grade rating. Rival rating agency Moody's also hasPemex at one notch above junk. Investors worry that if the company loses investment gradestatus, Mexico's sovereign debt could also be downgraded.(Reporting by Ana Isabel Martinez and Julia Love; editing byFrank Jack Daniel; editing by Grant McCool and Bernadette Baum)","REFILE-UPDATE 2-Mexico's Pemex, after downgrade, will make all debt payments -Lopez Obrador",president andres manuel lopezobrador said he would present a plan on friday to strengthen pemex's finances. one source of funding will be savings from the government's fight against fuel theft. the plan is expected to include areduction in the taxes the company pays to the government and acapital injection.,"refile-update 2-mexico's pemex will make all debt payments , president says , promises to shore up finances"
